WKT,location,intmig_person,recent_intmig,desire2emig,plans2emig,nobs,x,y
"POINT (-8658606.04839438 2068959.24973021)","Belize, Belize",0.186507936507937,0.25531914893617,0.26984126984127,0.123505976095618,"252",-88.7600927,16.8259793
"POINT (-8647432.02691752 2120519.28863696)","Belmopan, Belize",0.440677966101695,0.230769230769231,0.155172413793103,0.1,"60",-88.770018,17.250199
"POINT (-8889457.40620723 1800430.10580353)","Ciudad De Guatemala, Guatemala",0.142156862745098,0.241379310344828,0.295566502463054,0.0544554455445545,"204",-90.5185188,14.6222328
"POINT (-7941646.966222 1154764.00868256)","Colón, Panama",0.12037037037037,0.384615384615385,0.201923076923077,0.0740740740740741,"108",-79.8974085,9.3553005
"POINT (-8210554.80937409 1048880.61569795)","David, Panama",0.114942528735632,0.1,0.126436781609195,0.0114942528735632,"87",-82.4826159156964,8.4949423
"POINT (-8966794.83364585 1927438.02204632)","Huehuetenango, Guatemala",0.314814814814815,0.176470588235294,0.166666666666667,0.0555555555555556,"54",-91.5839796,15.6634185
"POINT (-8075152.65793249 1056836.19972293)","Panamá, Panama",0.166936790923825,0.223300970873786,0.170454545454545,0.0616883116883117,"617",-81.1308434,8.559559
"POINT (-8994266.47270055 1814322.51607672)","Quetzaltenango, Guatemala",0.208955223880597,0.428571428571429,0.283582089552239,0.0298507462686567,"67",-91.6152074,14.7360257
"POINT (-8680081.37310143 2108680.27881651)","San Ignacio, Belize",0.208333333333333,0.2,0.0833333333333333,0.0208333333333333,"48",-89.0761718,17.1527588
"POINT (-8686258.35151812 1660879.53349574)","San Miguel, El Salvador",0.305555555555556,0.227272727272727,0.180555555555556,0.0694444444444444,"72",-88.17722,13.4803899
"POINT (-8781161.57368956 1687616.67879081)","San Salvador, El Salvador",0.245901639344262,0.266666666666667,0.330578512396694,0.0330578512396694,"122",-89.1914249,13.6989939
"POINT (-8810185.32393288 1723778.12926124)","Santa Ana, El Salvador",0.25,0.277777777777778,0.263888888888889,0.0416666666666667,"72",-89.5566069,13.9947753
